radio,1 Hogar de ancianos,2 Hogar de menores,3 Colegio internado,4 Campamento/obrador,5 Hospital,6 Prisión,7 Cuartel,8 Hogar de religiosos,9 Hotel turístico,10 Otros,TOTAL
020010321,0,0,0,0,0,0,0,0,0,0,0
020010322,0,0,0,0,0,0,0,0,0,0,0
020010323,0,0,0,0,0,0,0,0,0,0,0
020010401,0,0,0,0,0,0,0,0,0,0,0
020010402,0,0,0,0,0,0,0,0,0,0,0
020010403,0,0,0,0,0,0,0,0,1,0,1
020010404,0,0,0,0,0,0,0,0,1,0,1
020010405,0,0,0,0,0,0,0,0,0,0,0
020010406,0,0,0,0,0,0,0,0,1,0,1
020010407,1,0,0,0,0,0,0,1,0,0,2
020010408,0,0,0,0,0,0,0,0,1,0,1
020010501,0,0,0,0,0,0,0,0,0,0,0
020010502,0,0,0,0,0,0,0,0,0,0,0
020010503,0,0,0,0,0,0,0,0,2,1,3
020010504,0,0,0,0,0,0,0,1,0,0,1
020010505,0,0,0,0,0,0,0,1,1,0,2
020010506,1,1,0,0,0,0,0,0,1,0,3
020010507,0,0,0,0,0,0,0,0,0,0,0
020010601,0,2,0,0,0,0,0,1,1,0,4
020010602,1,0,0,0,0,0,0,0,1,0,2
020010603,0,0,0,0,0,0,0,0,1,0,1
020010604,0,0,0,0,0,0,0,0,0,0,0
020010605,0,0,0,0,0,0,0,0,1,0,1
020010606,0,0,0,0,0,0,0,0,0,0,0
020010607,0,0,0,0,0,0,0,0,0,0,0
020010608,0,0,0,0,0,0,0,1,5,0,6
020010609,0,0,0,0,0,0,0,0,0,0,0
020010610,0,0,0,0,0,1,0,0,1,0,2
020010701,0,0,0,0,0,0,0,0,1,1,2
020010702,0,0,0,0,0,0,0,0,3,1,4
020010703,0,0,0,0,0,0,0,1,1,0,2
020010704,0,0,0,0,0,0,0,0,2,0,2
020010705,0,0,0,0,0,0,0,0,2,0,2
020010706,0,0,0,0,0,0,0,0,2,0,2
020010707,0,0,0,0,0,0,0,0,2,0,2
020010708,0,0,0,0,0,0,0,0,1,1,2
020010709,0,0,0,0,0,0,0,1,0,0,1
020010710,0,0,0,0,0,0,0,0,1,0,1
020010711,0,0,0,0,0,0,0,0,0,0,0
020010712,0,0,0,0,0,0,0,0,4,0,4
020010713,0,0,0,0,0,0,0,0,5,0,5
020010801,0,0,0,0,0,0,0,1,0,0,1
020010802,0,0,0,0,0,0,0,0,1,0,1
020010803,0,0,0,0,0,0,0,0,1,0,1
020010804,0,0,0,0,0,0,0,0,1,0,1
020010805,0,0,0,0,0,0,0,0,2,0,2
020010806,0,0,0,0,0,0,0,1,1,0,2
020010807,0,0,0,0,0,0,0,0,1,0,1
020010808,0,0,0,0,0,0,0,0,1,0,1
020010809,1,0,0,0,0,0,0,1,0,2,4
020010810,0,0,0,0,0,0,0,0,3,0,3
020010901,0,0,0,0,0,0,0,0,0,0,0
020010902,0,0,0,0,0,0,0,0,0,0,0
020010903,0,0,0,0,0,0,0,0,2,0,2
020010904,0,0,0,0,0,0,0,0,0,0,0
020010905,0,0,0,0,0,0,0,0,0,0,0
020010906,0,0,0,0,0,0,0,0,2,0,2
020010907,0,0,0,0,0,0,0,0,4,0,4
020010908,0,0,0,0,0,0,0,0,0,0,0
020010909,0,0,0,0,0,0,0,0,3,0,3
020010910,0,0,0,0,0,0,0,0,5,1,6
020010911,0,0,0,0,0,0,0,0,3,0,3
020010912,0,0,0,0,0,0,0,0,4,0,4
020010913,0,0,0,0,0,0,0,0,0,0,0
020010914,0,0,0,0,0,0,0,0,0,0,0
020010915,0,0,0,0,0,0,0,0,1,0,1
020010916,0,0,0,0,0,0,0,0,11,0,11
020010917,0,0,0,0,0,0,0,0,0,0,0
020010918,0,0,0,0,0,0,0,0,3,0,3
020010919,0,0,0,0,0,0,0,0,0,0,0
020011001,1,0,0,0,0,0,0,0,0,0,1
020011002,0,0,0,0,0,0,0,0,2,0,2
020011003,0,0,0,0,0,1,0,0,0,0,1
020011004,0,0,0,0,0,0,0,0,0,0,0
020011005,0,0,0,0,0,0,0,0,0,0,0
020011006,0,0,0,0,0,0,0,0,0,0,0
020011007,0,0,0,0,0,0,0,0,0,0,0
020011008,0,0,0,0,0,0,0,0,0,0,0
020011009,0,0,0,0,0,1,0,0,0,0,1
020011010,0,0,0,0,0,0,0,0,0,0,0
020011011,0,0,0,0,0,0,0,0,0,0,0
020011012,0,0,0,0,1,0,0,0,0,0,1
020011013,0,0,0,0,1,0,0,0,1,1,3
020011014,0,0,0,0,0,0,0,0,0,0,0
020011101,0,0,0,0,0,0,0,0,5,1,6
020011102,0,0,0,0,0,0,0,0,0,0,0
020011103,0,0,0,0,0,0,0,0,1,0,1
020011104,0,0,0,0,0,0,0,0,1,1,2
020011105,0,0,0,0,0,0,0,0,1,0,1
020011106,0,0,0,0,0,0,0,0,2,0,2
020011107,0,0,0,0,0,0,0,0,0,0,0
020011108,0,0,0,0,0,0,0,0,1,0,1
020011109,0,0,0,0,0,0,0,0,0,0,0
020011110,0,0,0,0,0,0,0,0,4,0,4
020011111,0,0,0,0,0,0,0,0,0,0,0
020011112,0,0,0,0,0,0,0,0,2,0,2
020011113,0,0,0,0,0,0,0,0,4,0,4
020011114,0,0,0,0,0,0,0,0,3,0,3
020011201,0,0,1,0,0,0,0,0,3,0,4
020011202,0,0,0,0,0,0,0,0,0,0,0
020011203,0,0,0,0,0,0,0,0,5,0,5
020011204,0,0,1,0,0,0,0,0,1,0,2
020011205,0,0,0,0,0,0,0,0,1,0,1
020011206,0,0,0,0,0,0,0,0,2,0,2
020011207,0,0,0,0,0,0,0,0,4,0,4
020011208,0,0,0,0,0,0,0,0,6,0,6
020011209,0,0,0,0,0,0,0,0,10,0,10
020011210,0,0,0,0,0,0,0,0,2,0,2
020011211,0,0,0,0,0,0,0,0,5,0,5
020011212,0,0,0,0,0,0,0,0,5,0,5
020011301,0,0,0,0,0,0,2,0,0,0,2
020011302,0,0,0,0,0,0,0,0,0,0,0
020011303,0,0,0,0,0,0,1,0,0,0,1
020011304,0,0,0,0,0,0,0,0,1,0,1
020011305,0,0,0,0,0,0,0,0,0,0,0
020011306,0,0,0,0,0,0,0,0,0,0,0
020011307,0,0,0,0,0,0,0,0,0,0,0
020011308,0,0,0,0,0,0,0,0,0,0,0
020011309,0,0,0,0,0,0,0,0,1,0,1
020011310,0,0,0,0,0,0,0,0,0,0,0
020011311,0,0,0,0,0,0,0,0,0,0,0
020011312,0,0,0,0,0,0,0,0,0,0,0
020011313,0,0,0,0,0,0,0,0,4,0,4
020011314,0,0,0,0,0,0,0,0,0,0,0
020011315,0,0,0,0,0,0,0,0,0,0,0
020011401,0,0,0,0,0,0,0,1,5,2,8
020011402,0,0,0,0,0,0,1,1,2,0,4
020011403,0,0,0,0,0,0,0,0,0,0,0
020011404,0,0,0,0,0,0,0,0,0,0,0
020011405,0,0,0,0,0,0,0,0,1,0,1
020011406,0,0,0,0,0,0,0,0,0,1,1
020011407,0,1,0,0,0,0,0,1,0,0,2
020011408,0,0,0,0,0,0,0,0,0,0,0
020011409,0,0,0,0,0,0,0,0,0,0,0
020011410,0,0,0,0,0,0,0,0,0,0,0
020011411,0,0,0,0,0,0,0,0,0,0,0
020011412,0,0,0,0,0,0,0,0,2,0,2
020011501,0,0,0,0,0,0,0,0,14,0,14
020011502,0,0,0,0,0,0,0,1,1,0,2
020011503,0,0,0,0,0,0,0,0,0,0,0
020011504,0,0,0,0,0,0,0,0,1,0,1
020011505,0,0,0,0,0,0,0,0,1,0,1
020011506,0,0,0,0,0,0,0,0,5,0,5
020011507,0,0,0,0,0,0,0,0,1,0,1
020011508,0,0,0,0,0,0,0,0,3,0,3
020011509,0,0,0,0,0,0,0,0,1,0,1
020011510,0,0,0,0,0,0,0,0,1,0,1
020011511,0,0,0,0,0,1,0,0,0,0,1
020011601,0,0,0,0,0,0,0,0,7,2,9
020011602,0,0,0,0,0,0,0,0,1,0,1
020011603,0,0,0,0,0,0,0,0,10,0,10
020011604,0,0,1,0,0,0,0,0,1,0,2
020011605,0,0,0,0,0,0,0,0,0,0,0
020011606,0,0,0,0,0,0,0,0,0,0,0
020011607,0,0,0,0,0,0,0,0,2,0,2
020011608,0,0,0,0,0,0,0,0,2,0,2
020011609,0,0,0,0,0,0,0,0,0,0,0
020011610,0,0,0,0,0,0,0,0,0,0,0
020011611,0,0,0,0,0,0,0,0,1,0,1
020011612,0,0,0,0,0,0,0,0,1,0,1
020011701,0,0,0,0,0,0,0,0,1,0,1
020011702,0,0,0,0,0,0,0,0,0,0,0
020011703,0,0,0,0,0,0,0,1,0,0,1
020011704,0,0,0,0,0,0,0,0,1,0,1
020011705,0,0,0,0,0,0,0,0,0,0,0
020011706,0,0,0,0,0,0,0,0,1,1,2
020011707,0,0,0,0,0,0,0,0,0,0,0
020011708,0,0,0,0,0,0,0,1,1,1,3
020011709,0,0,0,0,0,0,0,0,0,0,0
020011710,0,0,0,0,0,0,0,0,0,0,0
020011711,0,0,0,0,0,0,0,0,1,1,2
020011801,0,0,0,0,0,0,0,0,1,0,1
020011802,0,0,0,0,0,0,0,0,2,1,3
020011803,0,0,0,0,0,0,1,0,1,0,2
020011804,0,0,1,0,0,0,0,0,1,0,2
020011805,0,0,1,0,1,0,0,0,1,0,3
020011806,0,0,0,0,0,0,0,0,0,0,0
020011807,0,0,0,0,0,0,0,0,0,0,0
020011808,0,0,0,0,0,0,0,0,1,0,1
020011809,0,0,0,0,0,0,0,0,0,0,0
020011901,0,0,0,0,0,0,0,0,0,0,0
020011902,0,0,0,0,0,0,0,0,1,0,1
020011903,0,0,0,0,0,0,0,0,1,0,1
020011904,0,0,0,0,0,0,0,0,1,0,1
020011905,0,0,1,0,0,0,0,0,0,1,2
020011906,0,0,0,0,0,0,0,0,0,1,1
020011907,0,0,0,0,0,0,0,0,2,0,2
020011908,0,0,0,0,0,0,0,0,3,0,3
020011909,0,0,0,0,0,0,0,0,1,0,1
020012001,0,0,0,0,0,0,0,0,1,0,1
020012002,1,0,0,0,0,0,0,0,0,0,1
020012003,0,0,0,0,0,0,0,0,0,0,0
020012004,0,0,0,0,0,0,0,0,0,0,0
020012005,0,0,0,0,0,0,0,0,0,0,0
020012006,0,0,0,0,1,0,0,0,0,0,1
020012007,0,0,0,0,0,0,0,0,0,0,0
020012008,1,0,0,0,0,0,0,0,0,0,1
020012009,0,0,0,0,0,0,0,0,0,0,0
020012010,0,0,0,0,0,1,0,0,0,0,1
020012101,1,0,0,0,0,0,0,0,0,0,1
020012102,0,0,0,0,0,0,0,0,0,0,0
020012103,0,0,0,0,0,0,0,0,0,0,0
020012104,0,0,0,0,0,0,0,0,1,0,1
020012105,0,0,0,0,0,0,0,0,2,0,2
020012106,0,0,0,0,0,0,0,0,2,0,2
020012107,0,0,0,0,0,0,0,0,1,0,1
020012108,0,0,0,0,0,0,0,3,0,0,3
020012109,0,0,0,0,0,0,0,0,1,0,1
020012110,0,0,0,0,0,0,0,0,2,0,2
020012201,0,0,0,0,0,0,0,0,0,0,0
020012202,0,0,0,0,0,0,0,0,1,0,1
020012203,0,0,0,0,0,0,0,0,0,0,0
020012204,1,0,0,0,0,0,0,0,1,0,2
020012205,1,0,0,0,0,0,0,0,0,0,1
020012206,1,0,0,0,0,0,0,0,1,0,2
020012207,0,0,0,0,0,0,0,0,2,0,2
020012208,0,0,0,0,0,0,0,1,1,0,2
020012209,0,0,0,0,0,0,0,0,0,0,0
020012210,0,0,0,0,0,0,0,0,0,0,0
020012301,0,0,0,0,0,0,0,0,1,0,1
020012302,0,0,0,0,0,0,0,0,1,0,1
020012303,0,0,0,0,0,0,0,0,3,0,3
020012304,0,0,0,0,0,0,0,0,1,0,1
020012305,0,0,0,0,0,0,0,0,0,0,0
020012306,0,0,0,0,0,0,0,0,1,0,1
020012307,0,0,0,0,0,0,0,0,0,0,0
020012308,0,0,0,0,0,0,0,0,1,0,1
020012309,0,0,0,0,0,0,0,0,1,0,1
020012310,0,0,0,0,0,0,0,0,1,0,1
020012401,0,0,0,0,0,0,0,0,2,0,2
020012402,0,0,0,0,0,0,0,0,0,1,1
020012403,0,1,0,0,0,0,0,0,0,1,2
020012404,0,0,0,0,0,0,0,0,0,1,1
020012405,0,0,0,0,0,0,0,0,0,0,0
020012406,0,0,0,0,0,0,0,0,1,0,1
020012407,0,0,0,0,0,0,0,0,0,0,0
020012408,0,0,0,0,0,0,1,0,0,0,1
020012501,0,0,0,0,0,0,0,0,0,0,0
020012502,0,0,0,0,0,0,0,0,1,0,1
020012503,2,0,0,0,0,0,0,0,1,0,3
020012504,0,0,0,0,0,0,0,0,0,0,0
020012505,0,0,0,0,0,0,0,0,1,0,1
020012506,0,0,0,0,0,0,0,0,0,0,0
020012507,0,0,0,0,0,0,0,0,1,0,1
020012508,0,0,0,0,0,0,0,0,1,0,1
020012509,0,0,0,0,0,0,0,0,2,0,2
020012510,0,0,0,0,0,0,0,0,0,0,0
020012511,0,0,0,0,0,0,0,0,0,0,0
020012601,1,0,0,0,0,0,0,0,7,1,9
020012602,0,0,0,0,0,0,0,0,0,0,0
020012603,0,0,0,0,0,0,0,0,0,0,0
020012604,0,0,0,0,0,0,0,0,0,0,0
020012605,0,0,0,0,0,0,0,0,0,0,0
020012606,0,0,0,0,0,0,0,0,0,0,0
020012607,0,0,0,0,0,0,0,0,0,0,0
020012608,0,0,0,0,0,0,0,0,0,0,0
020012609,0,0,0,0,0,0,0,0,0,0,0
020012701,0,0,0,0,0,0,0,0,3,0,3
020012702,0,0,0,0,0,0,0,0,9,2,11
020012703,1,1,0,0,0,0,0,0,2,0,4
020012704,1,0,0,0,0,0,0,0,0,0,1
020012705,0,0,0,0,0,0,0,0,0,0,0
020012706,0,0,0,0,0,0,0,0,0,1,1
020012707,0,0,0,0,0,0,0,0,3,0,3
020012708,2,0,1,0,0,0,0,0,3,0,6
020012709,0,0,0,0,0,0,0,0,0,0,0
020012710,0,0,0,0,0,0,0,0,0,0,0
020012801,0,0,0,0,0,0,0,1,0,1,2
020012802,0,0,0,0,0,0,0,0,0,0,0
020012803,0,0,2,0,0,0,0,0,0,2,4
020012804,0,0,0,0,0,0,0,2,1,0,3
020012805,0,0,0,0,0,0,0,0,0,0,0
020012806,0,0,0,0,0,0,0,0,0,0,0
020012807,0,0,0,0,0,0,0,0,0,0,0
020012808,0,0,0,0,0,0,0,0,3,0,3
020012809,0,0,0,0,0,0,0,0,3,1,4
020012810,0,0,0,0,0,0,0,0,0,1,1
020012811,0,0,0,0,0,0,0,0,1,0,1
020012812,0,0,0,0,0,0,0,0,0,1,1
020012813,0,0,0,0,0,0,0,0,0,1,1
020012901,1,0,0,0,0,0,0,0,0,0,1
020012902,0,0,0,0,0,0,0,0,0,0,0
020012903,0,0,0,0,0,0,0,0,1,0,1
020012904,0,0,1,0,0,0,0,0,0,0,1
020012905,0,0,0,0,0,0,0,0,1,0,1
020012906,0,0,0,0,0,0,0,0,0,0,0
020012907,1,0,0,0,1,0,0,0,0,0,2
020012908,0,0,0,0,0,0,0,0,0,0,0
020012909,1,0,0,0,0,0,0,0,0,0,1
020020101,0,0,0,0,0,0,5,0,0,0,5
020020102,0,0,0,0,0,0,0,0,0,0,0
020020201,0,0,0,0,0,0,0,0,2,0,2
020020202,0,0,0,0,0,0,0,0,0,0,0
020020203,0,0,0,0,0,0,0,0,0,0,0
020020204,0,0,0,0,0,0,0,0,0,0,0
020020205,0,0,0,0,0,0,0,0,0,0,0
020020206,0,0,0,0,0,0,0,0,0,0,0
020020207,0,0,0,0,0,0,0,0,0,0,0
020020208,0,0,0,0,1,0,0,0,0,0,1
020020301,0,0,0,0,0,0,0,0,0,0,0
020020302,0,0,0,0,0,0,0,0,0,0,0
020020303,0,0,0,0,0,0,0,1,0,0,1
020020304,0,0,0,0,0,0,0,0,0,0,0
020020305,0,0,0,0,0,0,0,1,0,1,2
020020306,0,0,0,0,0,0,0,0,3,0,3
020020307,0,0,0,0,0,0,0,0,0,0,0
020020308,0,0,0,0,0,1,0,0,0,0,1
020020401,0,0,0,0,0,0,0,0,1,0,1
020020402,0,0,0,0,0,0,0,0,1,0,1
020020403,0,0,0,0,0,0,0,0,0,0,0
020020404,0,0,0,0,0,0,0,0,1,0,1
020020405,0,0,0,0,0,0,0,0,0,0,0
020020406,0,0,0,0,0,0,0,0,0,0,0
020020407,0,0,0,0,0,0,0,0,1,0,1
020020408,0,0,0,0,0,0,0,0,1,0,1
020020409,0,0,0,0,0,0,0,0,0,0,0
020020410,0,0,0,0,0,0,0,0,1,0,1
020020501,0,0,0,0,0,0,0,0,1,0,1
020020502,0,0,0,0,0,0,0,0,0,1,1
020020503,0,0,0,0,0,0,0,0,1,0,1
020020504,0,0,0,0,0,0,0,0,0,0,0
020020505,0,0,0,0,0,0,0,0,0,0,0
020020506,0,0,0,0,0,0,0,1,0,0,1
020020507,0,0,0,0,0,0,0,1,1,0,2
020020508,0,0,0,0,0,0,0,0,0,0,0
020020509,0,0,0,0,0,0,0,0,0,0,0
020020601,0,0,0,0,0,0,0,0,0,0,0
020020602,1,0,0,0,0,0,0,0,0,0,1
020020603,0,0,0,0,0,0,0,0,1,0,1
020020604,0,0,0,0,0,0,0,0,0,0,0
020020605,0,0,0,0,0,0,0,0,0,0,0
020020606,0,0,0,0,0,0,0,0,0,0,0
020020607,0,0,0,0,0,0,0,1,0,0,1
020020608,0,0,0,0,0,0,0,0,0,0,0
020020609,0,0,0,0,0,0,0,0,0,0,0
020020610,0,0,0,0,0,0,0,0,2,0,2
020020701,0,0,0,0,0,0,0,1,0,1,2
020020702,0,0,0,0,0,0,0,0,0,0,0
020020703,0,0,0,0,0,0,0,0,1,0,1
020020704,0,0,0,0,0,0,0,0,0,0,0
020020705,0,0,0,0,0,0,0,0,0,0,0
020020706,0,0,0,0,0,0,0,0,0,0,0
020020707,0,0,0,0,0,0,0,1,2,0,3
020020708,0,0,0,0,0,0,0,3,0,1,4
020020709,0,0,0,0,0,0,0,0,0,0,0
020020801,1,0,0,0,0,0,1,0,0,0,2
020020802,0,0,0,0,0,0,0,0,0,0,0
020020803,0,0,0,0,0,0,0,0,1,0,1
020020804,0,0,0,0,0,0,0,0,0,0,0
020020805,0,0,0,0,0,0,0,0,1,0,1
020020806,0,0,0,0,0,0,0,0,0,0,0
020020807,0,0,1,0,0,0,0,0,0,0,1
020020808,0,0,0,0,0,0,0,0,0,0,0
020020901,0,0,0,0,0,0,0,0,0,0,0
020020902,1,0,1,0,0,0,0,0,0,0,2
020020903,0,0,0,0,0,0,0,0,0,0,0
020020904,0,0,0,0,0,0,0,0,0,0,0
020020905,0,0,0,0,0,0,0,0,0,0,0
020020906,0,0,0,0,1,0,0,0,0,0,1
020020907,0,0,0,0,0,0,0,0,1,0,1
020020908,0,0,0,0,0,0,0,0,0,0,0
020020909,0,0,0,0,0,0,0,0,0,0,0
020021001,0,0,0,0,0,0,0,0,0,0,0
020021002,0,0,0,0,0,0,0,0,0,1,1
020021003,0,0,0,0,0,0,0,1,0,0,1
020021004,0,0,0,0,1,0,0,0,0,0,1
020021005,0,0,0,0,0,0,0,0,0,0,0
020021006,0,0,0,0,0,0,0,0,1,0,1
020021007,0,0,0,0,0,0,0,0,0,0,0
020021008,0,0,0,0,0,0,0,0,0,0,0
020021009,0,0,0,0,0,0,0,0,0,0,0
020021101,0,0,0,0,0,0,0,0,0,0,0
020021102,0,0,0,0,0,0,0,0,0,0,0
020021103,1,0,0,0,3,0,0,1,0,0,5
020021104,0,0,0,0,0,0,0,0,0,0,0
020021105,0,0,0,0,0,0,0,0,0,0,0
020021106,0,0,0,0,0,0,0,0,0,0,0
020021201,1,0,0,0,1,0,0,0,0,0,2
020021202,0,0,0,0,0,0,0,0,0,0,0
020021203,0,0,0,0,0,0,0,0,0,0,0
020021204,0,0,0,0,0,0,0,0,0,0,0
020021205,0,0,0,0,0,0,0,0,0,0,0
020021206,0,0,0,0,0,0,0,0,0,0,0
020021301,1,0,0,0,0,0,0,0,0,0,1
020021302,0,0,0,0,0,0,0,0,0,0,0
020021303,0,0,0,0,0,0,0,0,0,0,0
020021304,0,0,0,0,0,0,0,0,0,0,0
020021305,0,0,0,0,0,0,0,0,1,0,1
020021306,1,0,0,0,1,0,0,0,0,1,3
020021307,0,0,0,0,0,0,0,0,0,0,0
020021401,0,0,0,0,1,0,0,0,1,0,2
020021402,0,0,0,0,1,0,0,0,0,0,1
020021403,0,0,0,0,0,0,0,1,0,0,1
020021404,0,0,0,0,0,0,0,0,0,0,0
020021405,0,0,0,0,0,0,0,0,1,0,1
020021406,0,0,0,0,0,0,0,0,0,0,0
020021407,0,0,0,0,0,0,0,0,0,0,0
020021408,0,0,0,0,0,0,0,0,0,0,0
020021409,0,0,0,0,0,0,0,0,1,0,1
020021410,0,0,0,0,0,0,0,0,0,0,0
020021501,0,0,0,0,0,0,0,0,0,0,0
020021502,0,0,0,0,0,0,0,0,1,0,1
020021503,0,0,0,0,0,0,0,0,0,0,0
020021504,0,0,0,0,0,0,0,0,0,0,0
020021505,0,0,0,0,0,0,0,0,0,0,0
020021506,0,0,0,0,0,0,0,0,0,0,0
020021507,0,0,0,0,0,0,0,0,0,0,0
020021508,0,0,0,0,0,0,0,0,0,0,0
020021601,1,0,0,0,0,0,0,0,2,0,3
020021602,0,0,0,0,0,0,0,1,0,0,1
020021603,0,0,0,0,0,0,0,0,0,0,0
020021604,0,0,0,0,0,0,0,1,0,0,1
020021605,0,0,0,0,0,0,0,0,0,0,0
020021606,0,0,0,0,0,0,0,0,0,0,0
020021607,0,0,0,0,0,0,0,0,1,0,1
020021608,0,0,0,0,0,0,0,0,0,0,0
020021701,0,0,0,0,0,0,0,0,1,0,1
020021702,0,0,0,0,0,0,0,1,0,0,1
020021703,0,0,0,0,0,0,0,0,1,0,1
020021704,0,0,0,0,0,0,0,0,1,0,1
020021705,0,0,0,0,0,0,0,0,0,0,0
020021706,0,0,0,0,1,0,0,0,1,0,2
020021707,0,0,0,0,0,0,0,0,0,0,0
020021708,0,0,0,0,0,0,0,0,0,0,0
020021709,0,0,0,0,0,0,0,0,0,0,0
020021801,0,0,0,0,0,0,0,1,0,0,1
020021802,0,0,0,0,0,0,0,0,0,0,0
020021803,0,0,0,0,1,0,0,1,1,0,3
020021804,1,0,0,0,4,0,0,0,1,0,6
020021805,0,0,0,0,0,0,0,0,0,0,0
020021806,0,0,0,0,0,0,0,0,0,0,0
020021807,1,0,0,0,0,0,0,0,0,0,1
020021808,0,0,0,0,2,0,0,0,0,0,2
020021901,0,0,0,0,0,0,0,0,0,0,0
020021902,0,0,0,0,0,0,0,0,0,0,0
020021903,0,0,0,0,0,0,0,0,0,0,0
020021904,0,0,0,0,0,0,0,0,0,0,0
020021905,1,0,0,0,0,0,0,0,0,0,1
020021906,0,0,0,0,0,0,0,0,2,0,2
020021907,0,0,0,0,0,0,1,0,0,0,1
020021908,2,0,0,0,0,0,0,0,0,0,2
020022001,0,0,0,0,0,0,0,0,0,0,0
020022002,0,0,0,0,0,0,0,0,1,0,1
020022003,0,0,0,0,0,0,0,0,1,1,2
020022004,0,0,1,0,0,0,0,0,0,0,1
020022005,0,0,1,0,0,0,0,0,0,0,1
020022006,0,0,0,0,0,0,0,0,0,0,0
020022007,1,0,1,0,0,0,0,0,0,0,2
020022008,1,0,0,0,0,0,0,0,1,0,2
020022101,0,0,0,0,0,0,0,0,0,0,0
020022102,0,0,0,0,0,0,0,0,0,0,0
020022103,0,0,0,0,0,0,0,0,0,0,0
020022104,0,0,0,0,0,0,0,0,1,0,1
020022105,0,0,0,0,0,0,0,0,1,0,1
020022106,0,0,1,0,0,1,0,0,1,0,3
020022201,0,0,0,0,0,0,0,0,1,0,1
020022202,0,0,0,0,0,0,0,0,0,0,0
020022203,0,0,0,0,0,0,0,0,0,0,0
020022204,1,0,0,0,0,0,0,0,0,0,1
020022205,0,0,0,0,0,0,0,0,0,0,0
020022206,0,0,0,0,0,0,0,0,1,0,1
020022301,0,0,0,0,1,0,0,0,0,0,1
020022302,0,0,0,0,0,0,0,0,0,0,0
020022303,0,0,0,0,0,0,0,0,0,0,0
020022304,1,0,0,0,0,0,0,0,0,0,1
020022305,0,0,0,0,0,0,0,0,0,0,0
020022306,0,0,0,0,0,0,0,0,0,0,0
020022307,0,0,0,0,0,0,0,0,0,0,0
020022308,0,0,0,0,0,0,0,0,0,0,0
020022309,0,0,0,0,0,0,0,0,0,0,0
020022401,0,0,0,0,0,0,0,0,0,0,0
020022402,0,0,0,0,0,0,0,0,0,0,0
020022403,0,0,0,0,0,0,0,0,0,0,0
020022404,0,0,0,0,1,0,0,0,0,0,1
020022405,0,0,0,0,0,0,0,0,0,0,0
020022406,0,0,0,0,0,0,0,0,0,0,0
020022501,0,0,0,0,0,0,0,0,0,0,0
020022502,0,0,0,0,0,0,0,0,0,0,0
020022503,0,0,0,0,1,0,0,0,0,0,1
020022504,0,0,0,0,0,0,0,0,0,0,0
020022505,0,0,0,0,0,0,0,0,1,0,1
020022506,1,0,0,0,2,0,0,0,1,2,6
020022507,0,0,0,0,0,0,0,0,0,0,0
020022508,0,0,1,0,0,0,0,0,0,2,3
020022509,0,0,0,0,0,0,0,0,0,0,0
020022510,0,0,0,0,0,0,0,0,0,0,0
020022511,0,0,0,0,1,0,0,1,0,0,2
020030101,0,0,0,0,0,0,0,0,0,0,0
020030102,0,0,0,0,0,0,0,0,1,0,1
020030103,0,0,0,0,0,0,0,0,0,0,0
